,Car7,Col1a1,Rab27b,Mesp2,Bambi,Nfe2,Cldn5,Smarcd3,Bin2,Abcc4,Slc38a5,Wnt5a,Zfp57,Esam,Tet3,Postn,Cdh2,Sox2,Col4a1,Morc4,Jarid2,Aldh1a2,Tbx1,Cyp26a1,Igfbp3,Lefty1,Socs2,Hoxb4,Pitx1,Nr1d1,Coro1a,Irx5,Ash2l,Dnmt3l,Bmi1
2405,0.0,0.0,0.0,0.0,5.1556807,0.0,0.0,0.0,0.0,0.0,4.468283,5.1556807,0.0,0.0,0.0,5.1556807,0.0,4.468283,5.5592217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.468283,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2406,4.635125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.323408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.323408,0.0,4.635125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.635125,0.0
2407,0.0,3.2181082,0.0,0.0,4.794997,0.0,0.0,3.891037,3.891037,0.0,3.2181082,3.2181082,3.2181082,0.0,3.2181082,0.0,4.2896705,0.0,4.794997,3.2181082,3.2181082,3.2181082,0.0,0.0,0.0,0.0,0.0,4.2896705,5.745406,0.0,0.0,4.5739193,0.0,3.2181082,3.2181082
2408,4.1696725,0.0,4.1696725,0.0,4.1696725,4.1696725,0.0,0.0,4.1696725,4.855061,0.0,4.1696725,0.0,0.0,4.1696725,0.0,0.0,0.0,4.1696725,0.0,0.0,0.0,0.0,0.0,0.0,4.1696725,0.0,4.855061,4.1696725,0.0,0.0,0.0,0.0,0.0,0.0
2409,0.0,0.0,0.0,0.0,5.364882,0.0,0.0,0.0,0.0,0.0,0.0,4.961753,0.0,0.0,4.275582,4.275582,0.0,0.0,5.364882,0.0,4.961753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.275582,0.0,0.0
2410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6790826,5.736186,4.359526,3.6790826,4.359526,0.0,0.0,3.6790826,4.359526,0.0,3.6790826,0.0,0.0,0.0,0.0,0.0,0.0,3.6790826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4023824,5.089387,4.4023824,4.4023824,0.0,0.0,0.0,0.0,5.089387,0.0,0.0,0.0,4.4023824,0.0,0.0,0.0,0.0,4.4023824,0.0,0.0,0.0,0.0,0.0,0.0,4.4023824
2412,0.0,0.0,0.0,0.0,0.0,0.0,4.289671,0.0,0.0,4.289671,0.0,4.289671,4.289671,4.9759398,5.3791013,0.0,4.289671,0.0,0.0,0.0,4.9759398,0.0,0.0,4.289671,0.0,0.0,0.0,4.289671,0.0,0.0,0.0,0.0,0.0,4.289671,0.0
2413,0.0,0.0,0.0,0.0,4.382669,3.7019362,0.0,0.0,3.7019362,0.0,4.7839613,4.382669,3.7019362,0.0,5.0695505,0.0,0.0,0.0,0.0,0.0,3.7019362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7019362,0.0
2414,0.0,2.5821044,0.0,0.0,3.910016,3.236711,4.308779,2.5821044,3.236711,0.0,0.0,3.6289918,4.1291437,4.1291437,4.1291437,2.5821044,3.236711,0.0,5.7256207,0.0,2.5821044,0.0,2.5821044,2.5821044,4.593093,3.236711,2.5821044,2.5821044,0.0,2.5821044,0.0,0.0,3.236711,0.0,0.0
2415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7997656,0.0,0.0,0.0,4.7997656,4.114816,0.0,0.0,4.114816,0.0,4.114816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.114816,0.0,0.0,0.0,4.7997656,0.0,0.0
2416,0.0,4.0136375,4.0136375,0.0,4.0136375,0.0,0.0,0.0,0.0,0.0,0.0,4.6977096,4.0136375,0.0,0.0,0.0,0.0,4.0136375,4.6977096,0.0,0.0,0.0,4.0136375,0.0,0.0,0.0,0.0,4.0136375,4.0136375,0.0,0.0,0.0,0.0,0.0,4.0136375
2417,4.371029,0.0,0.0,0.0,5.057837,0.0,0.0,0.0,0.0,0.0,0.0,4.371029,0.0,0.0,4.371029,0.0,0.0,0.0,0.0,0.0,4.371029,0.0,4.371029,0.0,0.0,0.0,4.371029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2418,0.0,0.0,0.0,0.0,4.5275674,0.0,0.0,3.1731794,3.1731794,3.845169,3.1731794,4.243481,3.1731794,0.0,4.748547,0.0,0.0,0.0,5.4373527,0.0,0.0,0.0,0.0,0.0,3.1731794,3.845169,0.0,0.0,0.0,0.0,0.0,0.0,3.1731794,3.1731794,0.0
2419,2.6273441,0.0,0.0,0.0,2.6273441,0.0,3.283687,2.6273441,3.283687,0.0,2.6273441,4.3569884,3.283687,4.5093064,4.3569884,0.0,2.6273441,2.6273441,4.9572816,3.283687,0.0,3.283687,0.0,2.6273441,4.5093064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.283687,0.0
2420,2.9944983,0.0,0.0,0.0,3.6622958,0.0,2.9944983,2.9944983,4.0591664,2.9944983,3.6622958,4.743644,3.6622958,0.0,2.9944983,0.0,4.342523,2.9944983,4.5630627,0.0,0.0,2.9944983,4.0591664,0.0,0.0,0.0,0.0,3.6622958,0.0,3.6622958,2.9944983,0.0,0.0,2.9944983,0.0
2421,3.0483398,0.0,0.0,0.0,0.0,0.0,5.307293,0.0,3.0483398,0.0,0.0,0.0,4.398408,4.398408,4.114816,3.0483398,3.0483398,0.0,5.6423483,0.0,4.114816,0.0,3.0483398,0.0,0.0,3.0483398,3.0483398,0.0,4.9527397,0.0,3.0483398,3.0483398,3.7174826,3.7174826,3.0483398
2422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.303305,0.0,5.303305,0.0,0.0,0.0,5.9939613,5.303305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7530947,4.7530947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7530947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7530947
2424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8429322,4.525306,0.0,4.525306,3.8429322,3.8429322,4.525306,4.525306,3.8429322,0.0,4.525306,0.0,3.8429322,0.0,0.0,0.0,0.0,0.0,4.525306,4.525306,0.0,0.0,0.0,0.0,0.0,0.0,0.0
